Fecha;Precio
01/12/2023;46,430
01/11/2023;44,400
01/10/2023;39,710
01/09/2023;41,500
01/08/2023;43,910
01/07/2023;44,220
01/06/2023;42,780
01/05/2023;40,270
01/04/2023;37,770
01/03/2023;37,700
01/02/2023;36,400
01/01/2023;36,830
01/12/2022;35,000
01/11/2022;36,650
01/10/2022;36,320
01/09/2022;34,810
01/08/2022;37,740
01/07/2022;38,480
01/06/2022;34,730
01/05/2022;38,270
01/04/2022;39,990
01/03/2022;44,230
01/02/2022;42,170
01/01/2022;43,230
01/12/2021;48,970
01/11/2021;49,400
01/10/2021;47,870
01/09/2021;45,800
01/08/2021;47,890
01/07/2021;46,510
01/06/2021;45,060
01/05/2021;43,570
01/04/2021;44,450
01/03/2021;41,650
01/02/2021;42,050
01/01/2021;42,320
01/12/2020;41,500
01/11/2020;39,690
01/10/2020;35,760
01/09/2020;37,500
01/08/2020;38,790
01/07/2020;35,420
01/06/2020;31,880
01/05/2020;30,150
01/04/2020;28,270
01/03/2020;23,810
01/02/2020;25,490
01/01/2020;28,220
01/12/2019;26,880
01/11/2019;26,320
01/10/2019;24,870
01/09/2019;24,630
01/08/2019;25,860
01/07/2019;25,960
01/06/2019;25,110
01/05/2019;23,530
01/04/2019;24,600
01/03/2019;23,590
01/02/2019;23,220
01/01/2019;22,010
